Denumire,PretFMC,StocTKR,StocTKRM,RealimentareStoc
M/PiPhone8Plus64GBGold,746,1,0,Necunoscut
M/PiPhone8Plus64GBSilver,746,0,0,Necunoscut
M/PiPhone8Plus64GBSpaceGrey,746,0,0,Necunoscut
M/PiPhone 864GB Gold,657,0,0,Necunoscut
M/PiPhone 864GB Silver,657,21,96,Necunoscut
M/PIphoneSE32GBSpaceGrey,284,0,0,EOL-numairevine
M/PiPhoneX256GBSilver,"1,082",0,0,Necunoscut
M/PiPhoneX256GBSpaceGrey,"1,082",0,0,Necunoscut
M/PiPhoneX64GBSilver,945,0,0,Necunoscut
M/PiPhoneX64GBSpaceGrey,945,0,0,Necunoscut
M/PLenovoA2010dualsimblack,58,0,0,EOL-numairevine
M/PLenovoBdualsimblack,60,43,0,EOL-numairevine
M/PLenovoBdualsimwhite,60,0,0,EOL-numairevine
M/PLenovoK5DarkGreydualsim,116,52,15,EOL-numairevine
M/PLGG4cSilver,174,0,11,EOL-numairevine
M/PLGG5Titan,462,0,11,EOL-numairevine
M/PLGG6AstroBlack,504,0,0,EOL-numairevine
M/PLGG6IcePlatinum,504,0,0,EOL-numairevine
M/PLGGFlex2,415,1,0,EOL-numairevine
M/PLGK102017Black,132,31,69,Necunoscut
M/PLGK102017Gold,132,13,50,Necunoscut
M/PLGK10Black,101,5,91,EOL-numairevine
M/PLGK42017Titan,84,147,164,Necunoscut
M/PLGK82017Gold,105,13,45,Necunoscut
M/PLGK82017Titan,105,20,29,Necunoscut
M/PLGK8Indigo,116,6,0,EOL-numairevine
M/PLGL65Black,78,0,116,EOL-numairevine
M/PLGQ6Black,221,12,10,Necunoscut
M/PLGQ6Platinium,221,16,10,Necunoscut
M/PMaxcomClassicMM141Brown,17,25,127,
M/PMaxcomComfortMM720,23,19,80,
M/PMotoG5DualSimGold,145,5,27,Necunoscut
M/PMotoG5DualSimGrey,145,4,3,Necunoscut
M/PMotorolaMotoCblack,63,24,224,Necunoscut
M/PMotorolaMotoE4PlusIronGrey,147,15,49,Necunoscut
M/PMotorolaMotoZ2PlayGreyplusJBL,352,10,5,Necunoscut
M/PNokia150Black,24,1,0,EOL-numairevine
M/PNokia150DualSimBlack,24,44,564,Necunoscut
M/PNokia230,41,85,368,Necunoscut
M/PNokia230DualSIMBlack,41,50,0,Necunoscut
M/PNokia3310DualSIMBlue,40,48,194,Necunoscut
M/PNokia3310DualSIMGrey,40,23,230,Necunoscut
M/PNokia3310DualSIMRed,40,132,124,Necunoscut
M/PNokia3310DualSIMYellow,40,150,138,Necunoscut
M/PNokia3 DualSIMSatinCopper,111,58,68,Necunoscut
M/PNokia3 DualSIMSilverWhite,111,57,53,Necunoscut
M/PNokia3 DualSIMTemperedBlue,111,92,71,Necunoscut
M/PNokia3DualSIMMatteBlack,111,88,142,Necunoscut
M/PNokia5DualSIM SatinSilver,147,18,82,Necunoscut
M/PNokia5DualSIMSatinblack,147,33,118,Necunoscut
M/PNokia6DualSIMSatinblack,179,12,13,Necunoscut
M/PNokia6DualSIMSatinSilver,179,17,21,Necunoscut
M/PNokia8DualSIMTemperedBlue,452,6,25,Necunoscut
M/PNokiaLumia635Black,115,9,0,EOL-numairevine
M/PNokiaLumia930Black,344,4,0,EOL-numairevine
M/PSamsung GalaxyS8MidnightBlack,515,0,0,Necunoscut
M/PSamsungGalaxyA52017GoldSand,294,0,0,EOL-numairevine
M/PSamsungGalaxyCorePrimeG360GCharcoalGrey,113,1,0,EOL-numairevine
M/PSamsungGalaxyJ3LTEdualsimBlack,100,424,485,Necunoscut
M/PSamsungGalaxyJ3LTEdualsimGold,100,144,739,
M/PSamsungGalaxyJ3LTEdualsimWhite,100,210,708,Necunoscut
M/PSamsungGalaxyJ52017DualBlack,168,118,405,Necunoscut
M/PSamsungGalaxyJ52017DualGold,168,103,211,Necunoscut
M/PSamsungGalaxyJ72017DualBlack,200,10,0,Necunoscut
M/PSamsungGalaxyJ72017DualGold,200,69,0,Necunoscut
M/PSamsungGalaxyNote8Black,720,29,216,Necunoscut
M/PSamsungGalaxyNote8Gold,720,21,126,Necunoscut
M/PSamsungGalaxyS664GBBlack,567,4,0,EOL-numairevine
M/PSamsungGalaxyS732GBBlack,420,67,162,Necunoscut
M/PSamsungGalaxyS732GBGold,420,49,72,Necunoscut
M/PSamsungGalaxyS8OrchidGray,515,0,1,Necunoscut
M/PSamsungGalaxyS8PlusMidnightBlk,599,0,0,Necunoscut
M/PSamsungGalaxyS8PlusOrchidGray,599,2,0,Necunoscut
M/PSamsungGalaxyXCover4,188,22,39,EOL-numairevine
M/PSonyXperiaE5Black,138,1,25,EOL-numairevine
